Region,Department,Commune_Code_INSEE,City,Number_of_Taxpayers,Average_Assets_in_Euro,Average_Tax_in_Euro,Source_File,Year
AUVERGNE-RHONE-ALPES,SAVOIE,73065,CHAMBERY,124.0,2058732.0,7479.0,ificom-2022.xlsx,2022
ILE-DE-FRANCE,VAL-DE-MARNE,94017,CHAMPIGNY SUR MARNE,63.0,2116037.0,8820.0,ificom-2019.xls,2019
ILE-DE-FRANCE,VAL-DE-MARNE,94017,CHAMPIGNY SUR MARNE,62.0,2106021.0,8677.0,ificom-2020.xlsx,2020
ILE-DE-FRANCE,VAL-DE-MARNE,94017,CHAMPIGNY SUR MARNE,70.0,2128889.0,8654.0,ificom-2021.xlsx,2021
ILE-DE-FRANCE,VAL-DE-MARNE,94017,CHAMPIGNY SUR MARNE,76.0,2167405.0,8917.0,ificom-2022.xlsx,2022
ILE-DE-FRANCE,VAL-DE-MARNE,94018,CHARENTON LE PONT,199.0,2127499.0,8110.0,ificom-2019.xls,2019
ILE-DE-FRANCE,VAL-DE-MARNE,94018,CHARENTON LE PONT,211.0,2127032.0,8118.0,ificom-2020.xlsx,2020
ILE-DE-FRANCE,VAL-DE-MARNE,94018,CHARENTON LE PONT,228.0,2152178.0,8343.0,ificom-2021.xlsx,2021
ILE-DE-FRANCE,VAL-DE-MARNE,94018,CHARENTON LE PONT,245.0,2176289.0,8415.0,ificom-2022.xlsx,2022
CENTRE-VAL DE LOIRE,EURE-ET-LOIR,28085,CHARTRES,88.0,2274040.0,10164.0,ificom-2019.xls,2019
CENTRE-VAL DE LOIRE,EURE-ET-LOIR,28085,CHARTRES,84.0,2381736.0,10929.0,ificom-2020.xlsx,2020
CENTRE-VAL DE LOIRE,EURE-ET-LOIR,28085,CHARTRES,86.0,2315656.0,10153.0,ificom-2021.xlsx,2021
CENTRE-VAL DE LOIRE,EURE-ET-LOIR,28085,CHARTRES,96.0,2337133.0,10689.0,ificom-2022.xlsx,2022
ILE-DE-FRANCE,HAUTS-DE-SEINE,92019,CHATENAY MALABRY,101.0,2147625.0,9064.0,ificom-2019.xls,2019
ILE-DE-FRANCE,HAUTS-DE-SEINE,92019,CHATENAY MALABRY,110.0,2081024.0000000002,8022.0,ificom-2020.xlsx,2020
ILE-DE-FRANCE,HAUTS-DE-SEINE,92019,CHATENAY MALABRY,114.0,2125800.0,8491.0,ificom-2021.xlsx,2021
ILE-DE-FRANCE,HAUTS-DE-SEINE,92019,CHATENAY MALABRY,126.0,2124573.0,8238.0,ificom-2022.xlsx,2022
ILE-DE-FRANCE,HAUTS-DE-SEINE,92020,CHATILLON,89.0,2182222.0,9474.0,ificom-2019.xls,2019
ILE-DE-FRANCE,HAUTS-DE-SEINE,92020,CHATILLON,92.0,2161120.0,9204.0,ificom-2020.xlsx,2020
ILE-DE-FRANCE,HAUTS-DE-SEINE,92020,CHATILLON,99.0,2212116.0,9699.0,ificom-2021.xlsx,2021
ILE-DE-FRANCE,HAUTS-DE-SEINE,92020,CHATILLON,112.0,2246086.0,9911.0,ificom-2022.xlsx,2022
ILE-DE-FRANCE,YVELINES,78146,CHATOU,232.0,2086994.0,7527.0,ificom-2019.xls,2019
ILE-DE-FRANCE,YVELINES,78146,CHATOU,222.0,2097904.0,7571.0,ificom-2020.xlsx,2020
ILE-DE-FRANCE,YVELINES,78146,CHATOU,242.0,2093601.0,7388.0,ificom-2021.xlsx,2021
ILE-DE-FRANCE,YVELINES,78146,CHATOU,272.0,2122436.0,7476.0,ificom-2022.xlsx,2022
ILE-DE-FRANCE,HAUTS-DE-SEINE,92022,CHAVILLE,108.0,1859030.0,6170.0,ificom-2019.xls,2019
ILE-DE-FRANCE,HAUTS-DE-SEINE,92022,CHAVILLE,112.0,1937919.0,6799.0,ificom-2020.xlsx,2020
ILE-DE-FRANCE,HAUTS-DE-SEINE,92022,CHAVILLE,118.0,1956542.0,6861.0,ificom-2021.xlsx,2021
