,Commune_Code_INSEE,Year,Number_of_Taxpayers,Average_Assets_in_Euro,Average_Tax_in_Euro
115,51454,2022,292.0,2203260.0,8888.0
627,35238,2019,491.0,2394287.0,10633.0
431,35238,2020,514.0,2437244.0,11005.0
260,35238,2021,572.0,2462023.0,11004.0
23,35238,2022,651.0,2483808.0,11233.0
704,76540,2019,158.0,2102109.0,8472.0
540,76540,2020,152.0,2145965.0,8751.0
331,76540,2021,166.0,2168910.0,8814.0
140,76540,2022,197.0,2156208.0,8387.0
727,92063,2019,646.0,2145530.0,8067.0
471,92063,2020,666.0,2145313.0,7956.0
383,92063,2021,734.0,2193654.0,8267.0
98,92063,2022,808.0,2244483.0,8509.0
637,92064,2019,618.0,2395348.0,10151.0
472,92064,2020,625.0,2421389.0,10363.0
384,92064,2021,659.0,2414712.0,10438.0
33,92064,2022,710.0,2444826.0,10728.0
628,97411,2019,291.0,2324532.0,10569.0
523,97411,2020,293.0,2383615.0,11004.0
409,97411,2021,292.0,2488467.0,11464.0
31,97411,2022,309.0,2448651.0,10902.0
789,42218,2019,83.0,1895126.0,6012.0
417,42218,2020,78.0,1888188.0,6107.0
264,42218,2021,78.0,2041352.0,7594.0
190,42218,2022,77.0,2037480.0,7431.0
670,06123,2019,87.0,2188938.0,9157.0
585,06123,2020,82.0,2140158.0,8355.0
219,06123,2021,84.0,2259076.0,9356.0
53,06123,2022,87.0,2342226.0,10307.0
632,35288,2019,148.0,2260030.0,10314.0
432,35288,2020,175.0,2206337.0,9449.0
261,35288,2021,197.0,2218192.0,9596.0
90,35288,2022,238.0,2260465.0,9930.0
620,94067,2019,401.0,2466876.0,11607.0
510,94067,2020,419.0,2495415.0,10864.0
402,94067,2021,436.0,2466345.0,11091.0
32,94067,2022,455.0,2447837.0,10832.0
667,94068,2019,682.0,2208193.0,9262.0
511,94068,2020,668.0,2207442.0,8997.0
403,94068,2021,744.0,2226866.0,9098.0
94,94068,2022,805.0,2249083.0,9264.0
673,97415,2019,174.0,2161052.0,9064.0
524,97415,2020,175.0,2144491.0,8940.0
410,97415,2021,186.0,2207109.0,9516.0
112,97415,2022,208.0,2205636.0,9531.0
615,97416,2019,108.0,2495870.0,12228.0
525,97416,2020,111.0,2385917.0,11002.0
411,97416,2021,115.0,2437165.0,11334.0
46,97416,2022,119.0,2383185.0,10730.0
729,69204,2019,63.0,2086475.0,7987.0
423,69204,2020,63.0,2131247.0,7620.0
302,69204,2021,68.0,2191812.0,7998.0
126,69204,2022,78.0,2178521.0,8276.0
721,78551,2019,514.0,2196506.0,8199.0
521,78551,2020,612.0,2183282.0,7928.0
338,78551,2021,651.0,2213228.0,8133.0
97,78551,2022,688.0,2246020.0,8564.0
707,33449,2019,52.0,2105352.0,8445.0
549,33449,2020,52.0,2165972.0,8293.0
252,33449,2021,51.0,2251278.0,8852.0
95,33449,2022,58.0,2248769.0,9611.0
688,83118,2019,291.0,2152180.0,8804.0
598,83118,2020,302.0,2191693.0,9322.0
347,83118,2021,325.0,2178550.0,8901.0
