,Region,Department,Commune_Code_INSEE,City
374,ILE-DE-FRANCE,HAUTS-DE-SEINE,92040,ISSY LES MOULINEAUX
185,ILE-DE-FRANCE,HAUTS-DE-SEINE,92040,ISSY LES MOULINEAUX
728,ILE-DE-FRANCE,VAL-DE-MARNE,94038,L'HAY LES ROSES
506,ILE-DE-FRANCE,VAL-DE-MARNE,94038,L'HAY LES ROSES
398,ILE-DE-FRANCE,VAL-DE-MARNE,94038,L'HAY LES ROSES
207,ILE-DE-FRANCE,VAL-DE-MARNE,94038,L'HAY LES ROSES
750,ILE-DE-FRANCE,YVELINES,78126,LA CELLE-SAINT-CLOUD
516,ILE-DE-FRANCE,YVELINES,78126,LA CELLE-SAINT-CLOUD
333,ILE-DE-FRANCE,YVELINES,78126,LA CELLE-SAINT-CLOUD
150,ILE-DE-FRANCE,YVELINES,78126,LA CELLE-SAINT-CLOUD
700,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13028,LA CIOTAT
591,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13028,LA CIOTAT
227,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13028,LA CIOTAT
141,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13028,LA CIOTAT
730,ILE-DE-FRANCE,HAUTS-DE-SEINE,92035,LA GARENNE COLOMBES
461,ILE-DE-FRANCE,HAUTS-DE-SEINE,92035,LA GARENNE COLOMBES
373,ILE-DE-FRANCE,HAUTS-DE-SEINE,92035,LA GARENNE COLOMBES
117,ILE-DE-FRANCE,HAUTS-DE-SEINE,92035,LA GARENNE COLOMBES
630,LES-HAUTS-DE-FRANCE,NORD,59368,LA MADELEINE
532,LES-HAUTS-DE-FRANCE,NORD,59368,LA MADELEINE
283,LES-HAUTS-DE-FRANCE,NORD,59368,LA MADELEINE
22,LES-HAUTS-DE-FRANCE,NORD,59368,LA MADELEINE
734,NOUVELLE-AQUITAINE,CHARENTE-MARITIME,17300,LA ROCHELLE
541,NOUVELLE-AQUITAINE,CHARENTE-MARITIME,17300,LA ROCHELLE
231,NOUVELLE-AQUITAINE,CHARENTE-MARITIME,17300,LA ROCHELLE
136,NOUVELLE-AQUITAINE,CHARENTE-MARITIME,17300,LA ROCHELLE
748,PROVENCE-ALPES-COTE D'AZUR,VAR,83126,LA SEYNE SUR MER
599,PROVENCE-ALPES-COTE D'AZUR,VAR,83126,LA SEYNE SUR MER
348,PROVENCE-ALPES-COTE D'AZUR,VAR,83126,LA SEYNE SUR MER
209,PROVENCE-ALPES-COTE D'AZUR,VAR,83126,LA SEYNE SUR MER
685,NOUVELLE-AQUITAINE,GIRONDE,33529,LA TESTE DE BUCH
551,NOUVELLE-AQUITAINE,GIRONDE,33529,LA TESTE DE BUCH
254,NOUVELLE-AQUITAINE,GIRONDE,33529,LA TESTE DE BUCH
80,NOUVELLE-AQUITAINE,GIRONDE,33529,LA TESTE DE BUCH
660,LES-HAUTS-DE-FRANCE,NORD,59328,LAMBERSART
530,LES-HAUTS-DE-FRANCE,NORD,59328,LAMBERSART
281,LES-HAUTS-DE-FRANCE,NORD,59328,LAMBERSART
50,LES-HAUTS-DE-FRANCE,NORD,59328,LAMBERSART
618,PAYS DE LA LOIRE,MAYENNE,53130,LAVAL
574,PAYS DE LA LOIRE,MAYENNE,53130,LAVAL
273,PAYS DE LA LOIRE,MAYENNE,53130,LAVAL
