,Commune_Code_INSEE,Year,Number_of_Taxpayers,Average_Assets_in_Euro,Average_Tax_in_Euro
207,94038,2022,0.0139186295503212,0.06026328880134846,0.09167632738233245
750,78126,2019,0.14775160599571735,0.13773093600662734,0.089635984233712
516,78126,2020,0.15417558886509639,0.23024315459679034,0.09348481335497333
333,78126,2021,0.16488222698072807,0.12522690589635943,0.07920241131463018
150,78126,2022,0.1777301927194861,0.15136666634811402,0.10248087178298165
700,13028,2019,0.04817987152034261,0.12396342546043859,0.14259216322745188
591,13028,2020,0.05246252676659529,0.12914711549730173,0.13461627637375373
227,13028,2021,0.062098501070663815,0.15072989635134826,0.15140273591467657
141,13028,2022,0.07601713062098503,0.16236125983887606,0.1664270809181544
730,92035,2019,0.09850107066381159,0.12304196998328598,0.1145374449339207
461,92035,2020,0.12205567451820129,0.18315738328775522,0.17672153953164849
373,92035,2021,0.1359743040685225,0.17531495217434834,0.15464873637839088
117,92035,2022,0.1531049250535332,0.1842548810230974,0.17352191050313004
630,59368,2019,0.0021413276231263406,0.3511565221896237,0.23649431949918848
532,59368,2020,0.003211991434689511,0.2646443267364432,0.1692557384651055
283,59368,2021,0.007494646680942185,0.28075169038291203,0.2999304428472061
22,59368,2022,0.0139186295503212,0.32853760690166134,0.19499188499884068
734,17300,2019,0.1809421841541756,0.12065835780739864,0.11184790169255737
541,17300,2020,0.19807280513918632,0.12824477317961003,0.11110595872942264
231,17300,2021,0.23233404710920771,0.1481058607485618,0.13062833294690468
136,17300,2022,0.27194860813704497,0.16543696957838894,0.12835613262230466
748,83126,2019,0.008565310492505356,0.04590226435612044,0.09445861349408763
599,83126,2020,0.003211991434689511,0.06727681236762251,0.11987015998145134
348,83126,2021,0.010706638115631696,0.012740429714122481,0.059216322745188954
209,83126,2022,0.0139186295503212,0.027359984789948943,0.05768606538372362
685,33529,2019,0.15524625267665954,0.21809422687018498,0.1568281938325991
551,33529,2020,0.15417558886509639,0.23963576353802696,0.18145142592163227
254,33529,2021,0.19593147751605997,0.22537835253619065,0.20565731509390212
80,33529,2022,0.24732334047109208,0.2251655928927213,0.1676327382332483
660,59328,2019,0.009635974304068519,0.26718486801105945,0.18372362624623229
530,59328,2020,0.020342612419700222,0.3144622738925812,0.17454208207744026
281,59328,2021,0.04068522483940044,0.29766583054977,0.2077904011129144
50,59328,2022,0.04389721627408994,0.2652594686843458,0.17797356828193833
618,53130,2019,0.01605995717344754,0.32547648352068437,0.29492232784604683
574,53130,2020,0.017130620985010704,0.3085477569952907,0.236216090888013
273,53130,2021,0.021413276231263385,0.25859853261233134,0.20927428703918383
43,53130,2022,0.03104925053533191,0.2834114374152169,0.23023417574773936
621,33069,2019,0.13918629550321202,0.29854956268588173,0.27159749594249943
545,33069,2020,0.1563169164882227,0.319479478250985,0.2830512404358915
246,33069,2021,0.17558886509635976,0.31136443312632445,0.294829584975655
38,33069,2022,0.22269807280513923,0.2902977075777139,0.2652909807558544
642,06030,2019,0.11884368308351179,0.2438074620792402,0.20857871551124507
580,06030,2020,0.1145610278372591,0.23826665774719225,0.21015534430790633
214,06030,2021,0.11241970021413278,0.3284299696352254,0.29654532807790396
24,06030,2022,0.1145610278372591,0.3246536117081179,0.28870855552979363
783,78158,2019,0.23554603854389725,0.06274296975241922,0.04076049153721306
518,78158,2020,0.2880085653104925,0.10600258832417342,0.07475075353582189
335,78158,2021,0.32548179871520344,0.15450474534481395,0.11156967308138183
144,78158,2022,0.3511777301927195,0.15776555094436617,0.11750521678645953
1,97113,2022,0.006423982869379015,0.7181613744172374,0.5074426153489451
655,76351,2019,0.055674518201284794,0.18608370859674717,0.18965916995131
539,76351,2020,0.04817987152034261,0.17692196650267922,0.16735450962207277
330,76351,2021,0.06531049250535331,0.1811203228715611,0.17380013911430559
131,76351,2022,0.07173447537473235,0.16702185287997595,0.1606306515186645
716,72181,2019,0.1113490364025696,0.14469768263001093,0.13285416183630883
575,72181,2020,0.1145610278372591,0.17140480213101672,0.15140273591467657
305,72181,2021,0.11991434689507496,0.1941268278844902,0.1649895664270809
109,72181,2022,0.13062098501070665,0.19295136857766415,0.17027591003941572
710,94058,2019,0.13383297644539616,0.16661393781885658,0.1363783909111987
509,94058,2020,0.13062098501070665,0.14125530201558323,0.10651518664502663
401,94058,2021,0.15417558886509639,0.16603098645530878,0.14722930674704382
139,94058,2022,0.16274089935760172,0.1636695053061653,0.14055182007883144
756,92060,2019,0.010706638115631696,0.13433734424661214,0.0874101553443079
469,92060,2020,0.020342612419700222,0.1618582819583344,0.11472293067470435
381,92060,2021,0.021413276231263385,0.19466853506183368,0.15168096452585206
116,92060,2022,0.025695931477516067,0.1854685666488446,0.137352191050313
